                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5434,                0.74551,                0.98695,                 1.5724,             0.00023495,             0.00023495,             0.00023495
                      2,                0.74083,                0.84339,                0.99674,                 1.3814,             0.00046827,             0.00046827,             0.00046827
                      3,                0.49784,                0.86623,                0.99674,                 1.3433,             0.00069687,             0.00069687,             0.00069687
                      4,                0.43686,                0.89233,                0.99837,                 1.3081,             0.00069279,             0.00069279,             0.00069279
                      5,                0.36275,                0.90049,                0.99837,                 1.2865,             0.00068573,             0.00068573,             0.00068573
                      6,                0.30556,                0.90212,                0.99837,                 1.2762,             0.00067866,             0.00067866,             0.00067866
                      7,                0.26114,                0.89233,                      1,                 1.2741,             0.00067159,             0.00067159,             0.00067159
                      8,                0.24674,                0.92333,                0.99837,                 1.2616,             0.00066452,             0.00066452,             0.00066452
                      9,                0.21973,                0.92333,                0.99837,                 1.2551,             0.00065745,             0.00065745,             0.00065745
                     10,                0.19073,                0.93475,                      1,                  1.241,             0.00065038,             0.00065038,             0.00065038
                     11,                0.21361,                0.92496,                      1,                 1.2548,             0.00064331,             0.00064331,             0.00064331
                     12,                0.18324,                0.93638,                      1,                  1.244,             0.00063625,             0.00063625,             0.00063625
                     13,                 0.1528,                0.92333,                0.99674,                 1.2426,             0.00062918,             0.00062918,             0.00062918
                     14,                 0.1676,                 0.9429,                      1,                 1.2352,             0.00062211,             0.00062211,             0.00062211
                     15,                0.14771,                0.92496,                      1,                 1.2438,             0.00061504,             0.00061504,             0.00061504
                     16,                0.13521,                0.93312,                0.99674,                 1.2356,             0.00060797,             0.00060797,             0.00060797
                     17,                0.14779,                0.94617,                      1,                 1.2295,              0.0006009,              0.0006009,              0.0006009
                     18,                0.11094,                0.92985,                      1,                 1.2387,             0.00059383,             0.00059383,             0.00059383
                     19,                0.14049,                0.93638,                0.99837,                 1.2351,             0.00058677,             0.00058677,             0.00058677
